z_lookback,z_entry_short,z_entry_long,z_exit,z_stop,slope_lookback,max_hold_days,slope_confirmation,avg_return,median_return,avg_sharpe,median_sharpe,min_return,max_return,avg_max_dd,worst_dd,total_trades,avg_trades_per_window,avg_win_rate,pct_windows_profitable,n_windows
10,0.3,1.0,0.0,2.0,5,7,False,24.406481481481478,23.595,1.7281527777777779,1.8075,-98.35,136.13,-20.37388888888889,-197.88,6287,29.10648148148148,51.624537037037044,82.87037037037037,216
10,0.75,1.0,-0.3,2.0,2,5,False,24.244768518518523,23.175,1.7182592592592594,1.699,-60.39,123.77,-19.453425925925927,-171.74,6180,28.61111111111111,51.56064814814815,85.18518518518519,216
10,0.75,1.0,-0.3,2.0,5,5,False,24.244768518518523,23.175,1.7182592592592594,1.699,-60.39,123.77,-19.453425925925927,-171.74,6180,28.61111111111111,51.56064814814815,85.18518518518519,216
10,0.75,1.0,-0.3,2.0,3,5,False,24.244768518518523,23.175,1.7182592592592594,1.699,-60.39,123.77,-19.453425925925927,-171.74,6180,28.61111111111111,51.56064814814815,85.18518518518519,216
10,0.5,1.0,0.0,1.5,2,7,False,24.187546296296297,22.51,1.8034675925925925,1.8215,-64.61,145.8,-19.24462962962963,-155.2,7772,35.98148148148148,47.00648148148147,85.18518518518519,216
10,0.5,1.0,0.0,1.5,5,7,False,24.187546296296297,22.51,1.8034675925925925,1.8215,-64.61,145.8,-19.24462962962963,-155.2,7772,35.98148148148148,47.00648148148147,85.18518518518519,216
10,0.5,1.0,0.0,1.5,3,7,False,24.187546296296297,22.51,1.8034675925925925,1.8215,-64.61,145.8,-19.24462962962963,-155.2,7772,35.98148148148148,47.00648148148147,85.18518518518519,216
10,0.75,1.0,0.0,2.0,2,5,False,24.17601851851852,22.560000000000002,1.7423657407407407,1.743,-72.95,125.39,-19.37796296296296,-171.74,6210,28.75,52.59722222222222,84.72222222222221,216
10,0.75,1.0,0.0,2.0,3,5,False,24.17601851851852,22.560000000000002,1.7423657407407407,1.743,-72.95,125.39,-19.37796296296296,-171.74,6210,28.75,52.59722222222222,84.72222222222221,216
10,0.75,1.0,0.0,2.0,5,5,False,24.17601851851852,22.560000000000002,1.7423657407407407,1.743,-72.95,125.39,-19.37796296296296,-171.74,6210,28.75,52.59722222222222,84.72222222222221,216
10,0.5,1.0,0.0,2.5,2,7,False,24.042824074074073,21.95,1.7140370370370368,1.6960000000000002,-111.18,144.84,-20.383703703703706,-209.48,5326,24.65740740740741,56.025,82.4074074074074,216
10,0.5,1.0,0.0,2.5,3,7,False,24.042824074074073,21.95,1.7140370370370368,1.6960000000000002,-111.18,144.84,-20.383703703703706,-209.48,5326,24.65740740740741,56.025,82.4074074074074,216
10,0.5,1.0,0.0,2.5,5,7,False,24.042824074074073,21.95,1.7140370370370368,1.6960000000000002,-111.18,144.84,-20.383703703703706,-209.48,5326,24.65740740740741,56.025,82.4074074074074,216
10,0.75,1.0,0.0,2.5,2,5,False,23.949675925925924,21.95,1.7405138888888887,1.7505000000000002,-86.33,129.99,-19.51902777777778,-183.34,5536,25.62962962962963,56.4138888888889,85.64814814814815,216
10,0.75,1.0,0.0,2.5,3,5,False,23.949675925925924,21.95,1.7405138888888887,1.7505000000000002,-86.33,129.99,-19.51902777777778,-183.34,5536,25.62962962962963,56.4138888888889,85.64814814814815,216
10,0.75,1.0,0.0,2.5,5,5,False,23.949675925925924,21.95,1.7405138888888887,1.7505000000000002,-86.33,129.99,-19.51902777777778,-183.34,5536,25.62962962962963,56.4138888888889,85.64814814814815,216
10,0.5,1.0,-0.3,2.0,2,7,False,23.947916666666668,22.57,1.6901064814814815,1.7595,-98.82,122.99,-20.744861111111113,-197.88,5967,27.625,49.0800925925926,82.4074074074074,216
10,0.5,1.0,-0.3,2.0,3,7,False,23.947916666666668,22.57,1.6901064814814815,1.7595,-98.82,122.99,-20.744861111111113,-197.88,5967,27.625,49.0800925925926,82.4074074074074,216
10,0.5,1.0,-0.3,2.0,5,7,False,23.947916666666668,22.57,1.6901064814814815,1.7595,-98.82,122.99,-20.744861111111113,-197.88,5967,27.625,49.0800925925926,82.4074074074074,216
10,0.75,1.5,0.0,2.0,5,7,False,23.946712962962962,22.84,1.7335833333333335,1.7795,-98.38,132.03,-20.264166666666664,-196.26,4976,23.037037037037038,50.285185185185185,83.33333333333334,216
10,0.75,1.5,0.0,2.0,3,7,False,23.946712962962962,22.84,1.7335833333333335,1.7795,-98.38,132.03,-20.264166666666664,-196.26,4976,23.037037037037038,50.285185185185185,83.33333333333334,216
10,0.75,1.5,0.0,2.0,2,7,False,23.946712962962962,22.84,1.7335833333333335,1.7795,-98.38,132.03,-20.264166666666664,-196.26,4976,23.037037037037038,50.285185185185185,83.33333333333334,216
10,0.3,1.0,0.0,1.5,3,7,False,23.89037037037037,22.5,1.793564814814815,1.8155000000000001,-64.61,146.0,-19.32268518518519,-155.2,8020,37.129629629629626,47.11851851851851,84.72222222222221,216
10,0.3,1.0,0.0,1.5,2,7,False,23.89037037037037,22.5,1.793564814814815,1.8155000000000001,-64.61,146.0,-19.32268518518519,-155.2,8020,37.129629629629626,47.11851851851851,84.72222222222221,216
10,0.3,1.0,0.0,1.5,5,7,False,23.89037037037037,22.5,1.793564814814815,1.8155000000000001,-64.61,146.0,-19.32268518518519,-155.2,8020,37.129629629629626,47.11851851851851,84.72222222222221,216
10,0.75,1.0,-0.3,1.5,3,5,False,23.859074074074073,22.53,1.769666666666667,1.7149999999999999,-48.21,116.75,-18.70949074074074,-124.14,7692,35.611111111111114,47.610648148148144,86.11111111111111,216
10,0.75,1.0,-0.3,1.5,5,5,False,23.859074074074073,22.53,1.769666666666667,1.7149999999999999,-48.21,116.75,-18.70949074074074,-124.14,7692,35.611111111111114,47.610648148148144,86.11111111111111,216
10,0.75,1.0,-0.3,1.5,2,5,False,23.859074074074073,22.53,1.769666666666667,1.7149999999999999,-48.21,116.75,-18.70949074074074,-124.14,7692,35.611111111111114,47.610648148148144,86.11111111111111,216
10,0.3,1.5,0.0,2.0,5,7,False,23.823287037037037,22.43,1.7057407407407408,1.759,-96.52,128.1,-20.26055555555556,-196.26,5505,25.48611111111111,51.56111111111112,82.87037037037037,216
10,0.3,1.5,0.0,2.0,3,7,False,23.823287037037037,22.43,1.7057407407407408,1.759,-96.52,128.1,-20.26055555555556,-196.26,5505,25.48611111111111,51.56111111111112,82.87037037037037,216
10,0.3,1.5,0.0,2.0,2,7,False,23.823287037037037,22.43,1.7057407407407408,1.759,-96.52,128.1,-20.26055555555556,-196.26,5505,25.48611111111111,51.56111111111112,82.87037037037037,216
10,0.75,1.0,0.0,2.5,2,7,False,23.772268518518516,22.47,1.7238749999999998,1.7149999999999999,-111.18,131.93,-20.531898148148144,-209.48,5025,23.26388888888889,55.49074074074074,82.4074074074074,216
10,0.75,1.0,0.0,2.5,3,7,False,23.772268518518516,22.47,1.7238749999999998,1.7149999999999999,-111.18,131.93,-20.531898148148144,-209.48,5025,23.26388888888889,55.49074074074074,82.4074074074074,216
10,0.75,1.0,0.0,2.5,5,7,False,23.772268518518516,22.47,1.7238749999999998,1.7149999999999999,-111.18,131.93,-20.531898148148144,-209.48,5025,23.26388888888889,55.49074074074074,82.4074074074074,216
10,0.5,1.0,-0.3,1.5,2,7,False,23.715648148148148,21.634999999999998,1.763462962962963,1.745,-59.66,132.25,-19.605694444444445,-155.2,7688,35.592592592592595,45.02268518518518,84.72222222222221,216
10,0.5,1.0,-0.3,1.5,5,7,False,23.715648148148148,21.634999999999998,1.763462962962963,1.745,-59.66,132.25,-19.605694444444445,-155.2,7688,35.592592592592595,45.02268518518518,84.72222222222221,216
10,0.5,1.0,-0.3,1.5,3,7,False,23.715648148148148,21.634999999999998,1.763462962962963,1.745,-59.66,132.25,-19.605694444444445,-155.2,7688,35.592592592592595,45.02268518518518,84.72222222222221,216
10,0.5,1.5,0.0,2.5,2,7,False,23.710046296296294,20.14,1.721587962962963,1.7195,-109.35,130.17,-20.39699074074074,-207.86,4576,21.185185185185187,56.38564814814816,82.4074074074074,216
10,0.5,1.5,0.0,2.5,5,7,False,23.710046296296294,20.14,1.721587962962963,1.7195,-109.35,130.17,-20.39699074074074,-207.86,4576,21.185185185185187,56.38564814814816,82.4074074074074,216
10,0.5,1.5,0.0,2.5,3,7,False,23.710046296296294,20.14,1.721587962962963,1.7195,-109.35,130.17,-20.39699074074074,-207.86,4576,21.185185185185187,56.38564814814816,82.4074074074074,216
10,0.5,1.5,0.0,1.5,5,7,False,23.677777777777777,22.095,1.7853796296296296,1.8245,-56.71,135.44,-19.098657407407405,-153.12,6873,31.819444444444443,47.64675925925926,84.72222222222221,216
10,0.5,1.5,0.0,1.5,3,7,False,23.677777777777777,22.095,1.7853796296296296,1.8245,-56.71,135.44,-19.098657407407405,-153.12,6873,31.819444444444443,47.64675925925926,84.72222222222221,216
10,0.5,1.5,0.0,1.5,2,7,False,23.677777777777777,22.095,1.7853796296296296,1.8245,-56.71,135.44,-19.098657407407405,-153.12,6873,31.819444444444443,47.64675925925926,84.72222222222221,216
10,0.75,1.0,0.0,1.5,2,7,False,23.625972222222224,22.17,1.7889814814814815,1.792,-58.65,130.02,-19.27268518518519,-155.2,7435,34.4212962962963,46.57546296296296,84.72222222222221,216
10,0.75,1.0,0.0,1.5,3,7,False,23.625972222222224,22.17,1.7889814814814815,1.792,-58.65,130.02,-19.27268518518519,-155.2,7435,34.4212962962963,46.57546296296296,84.72222222222221,216
10,0.75,1.0,0.0,1.5,5,7,False,23.625972222222224,22.17,1.7889814814814815,1.792,-58.65,130.02,-19.27268518518519,-155.2,7435,34.4212962962963,46.57546296296296,84.72222222222221,216
10,0.75,1.0,-0.3,2.0,5,7,False,23.605601851851855,22.685000000000002,1.6838518518518517,1.7555,-98.82,127.96,-20.811064814814817,-197.88,5694,26.36111111111111,48.6837962962963,81.48148148148148,216
10,0.75,1.0,-0.3,2.0,2,7,False,23.605601851851855,22.685000000000002,1.6838518518518517,1.7555,-98.82,127.96,-20.811064814814817,-197.88,5694,26.36111111111111,48.6837962962963,81.48148148148148,216
10,0.75,1.0,-0.3,2.0,3,7,False,23.605601851851855,22.685000000000002,1.6838518518518517,1.7555,-98.82,127.96,-20.811064814814817,-197.88,5694,26.36111111111111,48.6837962962963,81.48148148148148,216
10,0.5,1.5,-0.3,2.0,2,7,False,23.586157407407406,22.195,1.6810694444444445,1.7095,-97.08,126.19,-20.629305555555558,-196.26,5194,24.046296296296298,49.1837962962963,81.48148148148148,216
10,0.5,1.5,-0.3,2.0,5,7,False,23.586157407407406,22.195,1.6810694444444445,1.7095,-97.08,126.19,-20.629305555555558,-196.26,5194,24.046296296296298,49.1837962962963,81.48148148148148,216
10,0.5,1.5,-0.3,2.0,3,7,False,23.586157407407406,22.195,1.6810694444444445,1.7095,-97.08,126.19,-20.629305555555558,-196.26,5194,24.046296296296298,49.1837962962963,81.48148148148148,216
